	buyerid	publisherid	publisher	ppdrevenue	pdrevenue	rev_difference	rev_delta	offer_difference	offer_delta
419	547259	560293	WazimoHB	880.1399570000001	899.6236780000002	19.48	0.022137071320351448	-1815189	-0.2386315413072229
409	547259	558346	Sortable	1486.6535379999993	1508.4396260000046	21.79	0.01465444869509691	-384659	-0.010820448444702065
438	547259	560528	Playwire Media	499.84140699999904	526.3369469999993	26.5	0.0530078933616645	4550229	0.09290635639220426
470	547259	560436	Univision	207.23348199999995	233.94154699999999	26.71	0.12887910168879005	582019	0.01928550529522262
417	547259	559956	Monkey Broker	1012.4347749999995	1042.5156529999992	30.08	0.029711423138344663	-888817	-0.02416562620700073
468	547259	558563	Streamlyn	212.43569499999947	242.5527809999995	30.12	0.1417703649097206	-350175	-0.03830500817403223
479	547259	558251	bRealTime	152.558624	184.17916599999998	31.62	0.2072681384436187	438251	0.022288972860357577
500	547259	560772	Invaluable	110.58252499999998	144.35297499999996	33.77	0.30538685927093806	1711322	0.2532849059647658
486	547259	560724	RTS-WideOrbit	136.65717799999982	172.7151389999998	36.06	0.2638570584268909	7327449	0.21199231898239737
482	547259	543045	Hiveworks	141.72920099999993	179.65636200000012	37.93	0.26760301146409626	244500	0.06186920925077526
485	547259	558759	Real Networks	137.38511400000002	175.38098600000023	38.0	0.27656469390126365	2124594	0.20344996420032763
423	547259	558547	CPMOnly AP	666.9033080000002	705.954125	39.05	0.05855544054371344	-8745	-0.011654017604296461
493	547259	560797	Nuwa	123.93761900000001	165.309924	41.37	0.3338155544201634	325747	0.30836274205396563
469	547259	560709	Saavy Financial Advice	210.32573100000002	259.7432299999999	49.42	0.23495698203468934	979073	0.1553206195672573
441	547259	558257	BidMonitor	455.34938900000003	508.771717	53.42	0.11732162003625746	-35345	-0.011284119736498484
435	547259	560374	BidMonitor 2	543.9584080000009	597.8872200000012	53.93	0.09914142553340263	-190947	-0.06514256706344157
414	547259	557920	Work2Media Enterprise	1275.8482869999962	1332.435463	56.59	0.04435259001919562	519885	0.08872396612861883
420	547259	559903	Curse.com	818.2584460000003	878.1331820000006	59.87	0.07317337974657497	14810244	0.13842358989973821
424	547259	558881	AdRizer2	647.7151270000012	719.9230089999996	72.21	0.11148092578050646	422417	0.021468302671166357
427	547259	560310	Adflare.com	623.0764330000002	695.797608	72.72	0.1167130887134673	763796	0.12407451267441268
474	547259	559963	Funbox6 - Account F	172.6780909999989	250.45794499999928	77.78	0.4504326724344022	170201	0.10386938653953422
487	547259	560979	Motiv31	135.557625	230.29824200000007	94.74	0.6988955213696025	2270348	0.20154997469026872
498	547259	560517	Meaww	115.49360300000001	211.68590800000004	96.19	0.8328799388135811	-404157	-0.01797210807375467
415	547259	559931	WorldLifestyle.com	1145.1878930000005	1254.174674	108.99	0.09516934440731077	-9674664	-0.17032728410746706
451	547259	560158	Bidfluence	328.10858199999967	454.45341899999926	126.34	0.3850701991086588	3560535	0.24708584866752953
467	547259	558427	MILFORD MISSION LP	213.83088899999993	361.2969619999996	147.47	0.6896387780532481	105132	0.18730491298584684
422	547259	560453	Sekindo	707.4822159999956	862.2937480000008	154.81	0.21882038657492736	317198	0.020365842696629215
483	547259	558669	Mind Tank Media	138.92093	303.94415699999996	165.02	1.1878931921921339	1060546	0.7673333482862185
421	547259	560621	OnScroll News	781.7217279999994	1059.5956739999938	277.87	0.3554640174975341	-292330	-0.022838120669464043
403	547259	520096	Funbox - Account C	3165.200259999992	3489.911312999984	324.71	0.10258783847060378	-1269520	-0.06050304955348071
413	547259	560810	MULTIPLY	1407.4054279999996	1808.0067480000007	400.6	0.2846381803211301	13899568	0.26290081136359955
404	547259	560163	Funbox11	2859.8154329999866	3550.6642699999984	690.85	0.24157112694342714	598270	0.017374222818113055
505	553204	560816	RTS-DistrictM	61.049739999999986	30.615181000000003	-30.43	-0.4985206980406467	347479	0.00808704109144741
503	553204	560602	RTS-Criteo	76.00681800000021	47.542142999999776	-28.46	-0.37450160063272686	4463293	0.04052100766470411
511	553204	560669	Orbits Digital	29.60220899999999	5.889692000000004	-23.71	-0.8010387670730922	-564443	-0.3883187163067677
509	553204	560210	RTS-MediaNet	30.482766000000005	7.778038	-22.7	-0.7448381816794448	-67960729	-0.9374552201301534
520	553204	560415	Pubgears21	13.774949	4.246006	-9.53	-0.6917588587805297	-250457	-0.2674482550944025
527	553204	560295	MenSocietyMag	9.369114000000003	3.7144669999999995	-5.65	-0.6035412740201477	-250088	-0.09383436258421954
525	553204	560817	SNT Media 3	9.654573999999998	4.901005999999997	-4.75	-0.49236434461013007	983382	0.30343485658321284
508	553204	558346	Sortable	30.502582000000043	25.96867999999998	-4.53	-0.14863994136627698	-10452865	-0.18409754615390198
534	553204	560560	AdMonkey	6.496055999999997	1.9694739999999993	-4.53	-0.6968200397287215	-144519	-0.2191159190666434
532	553204	558300	Komoona12	7.254612000000004	2.8974469999999988	-4.36	-0.6006062074718818	56087	0.029732641071937863
540	553204	525331	Future of Capitalism	5.962959000000001	2.2858010000000006	-3.68	-0.6166666582815679	27737	0.0505273704344658
537	553204	558527	RTS-purch	6.232439000000001	4.012398	-2.22	-0.35620741735298184	-1379561	-0.0771477368919376
531	553204	558563	Streamlyn	7.623620999999998	5.6007469999999975	-2.02	-0.26534293874262654	52577	0.00530653819361108
517	553204	560311	GENIEE, Inc	19.65418800000001	17.882842	-1.77	-0.09012562615153613	-165421	-0.12010344719930939
535	553204	560849	PhoneArena.com	6.37673	5.200442000000002	-1.18	-0.1844657057770987	-29172	-0.17753704774366308
518	553204	560183	NewsNow Publishing Limited	18.755889	17.664698	-1.09	-0.058178580604736914	-18368	-0.004414149502398848
512	553204	558394	Komoona23	27.042306999999997	26.01361099999999	-1.03	-0.038040245604785396	136853	0.0742936153949717
548	553204	560779	CarambolaMedia3	3.8765349999999983	2.855070999999998	-1.02	-0.263499233206975	94806	0.040773863027413954
547	553204	558427	MILFORD MISSION LP	3.974226999999997	3.350737999999981	-0.62	-0.15688308694999462	100011	0.16156813709810308
541	553204	560876	Geniee10	5.944436999999999	5.409254000000001	-0.54	-0.09003089779570349	23611	0.14277507679655566
